order_id,order_date,customer_name,region,product,category,quantity,unit_price,revenue
1001,2026-03-14,TCS,West,Analytics Pro,SaaS,1,9554,9554
1002,2025-06-14,IBM,North,Cloud Suite,SaaS,4,3894,15576
1003,2026-02-08,Capgemini,North,Analytics Pro,SaaS,3,7517,22551
1004,2026-01-06,HCL,East,Security Shield,Cybersecurity,1,8089,8089
1005,2025-12-03,Accenture,North,Data Engine,Platform,2,4812,9624
1006,2026-04-24,Capgemini,East,Analytics Pro,SaaS,2,7315,14630
1007,2025-08-15,Deloitte,East,Finance Tracker,FinTech,5,5570,27850
1008,2026-02-11,Accenture,South,Data Engine,Platform,1,8462,8462
1009,2025-09-05,Tech Mahindra,East,Security Shield,Cybersecurity,5,7044,35220
1010,2026-03-26,IBM,North,Finance Tracker,FinTech,4,9234,36936
1011,2026-03-19,Deloitte,East,Analytics Pro,SaaS,5,3483,17415
1012,2026-03-07,Infosys,West,Analytics Pro,SaaS,2,8055,16110
1013,2026-05-22,Cognizant,East,Data Engine,Platform,2,4269,8538
1014,2026-05-19,Deloitte,East,AI Insights,AI,3,8408,25224
1015,2025-11-07,Accenture,East,Cloud Suite,SaaS,4,7582,30328
1016,2025-09-09,HCL,South,AI Insights,AI,1,7504,7504
1017,2026-03-11,IBM,West,HR Automator,HRTech,2,5339,10678
1018,2026-01-29,Deloitte,North,HR Automator,HRTech,4,3846,15384
1019,2025-12-01,Tech Mahindra,East,Finance Tracker,FinTech,4,9554,38216
1020,2026-03-01,Deloitte,West,Analytics Pro,SaaS,4,3889,15556
1021,2025-12-08,HCL,South,HR Automator,HRTech,2,3819,7638
1022,2026-02-25,IBM,East,Finance Tracker,FinTech,4,6827,27308
1023,2026-02-14,Infosys,North,Data Engine,Platform,4,7046,28184
1024,2026-04-19,Infosys,East,Analytics Pro,SaaS,5,3220,16100
1025,2025-07-08,Capgemini,East,AI Insights,AI,5,8775,43875
1026,2025-11-09,Deloitte,South,Data Engine,Platform,2,7871,15742
1027,2026-01-31,TCS,East,Finance Tracker,FinTech,4,6645,26580
1028,2025-12-09,HCL,South,AI Insights,AI,3,7829,23487
1029,2026-03-15,Tech Mahindra,West,Cloud Suite,SaaS,3,6977,20931
1030,2026-01-10,Infosys,West,Data Engine,Platform,5,7764,38820
1031,2025-11-28,Wipro,East,Security Shield,Cybersecurity,1,7255,7255
1032,2025-10-12,TCS,West,Analytics Pro,SaaS,3,5415,16245
1033,2026-04-01,Accenture,North,Data Engine,Platform,3,3352,10056
1034,2026-04-29,TCS,North,Finance Tracker,FinTech,1,6257,6257
1035,2026-04-10,Accenture,East,Security Shield,Cybersecurity,4,7400,29600
1036,2026-05-06,Infosys,West,Security Shield,Cybersecurity,5,4853,24265
1037,2026-01-29,Deloitte,East,AI Insights,AI,4,6822,27288
1038,2025-11-12,Tech Mahindra,South,Data Engine,Platform,3,8469,25407
1039,2025-09-06,Tech Mahindra,East,AI Insights,AI,1,7465,7465
1040,2026-04-22,TCS,West,Analytics Pro,SaaS,5,5812,29060
1041,2025-06-22,Tech Mahindra,West,Cloud Suite,SaaS,2,8737,17474
1042,2025-12-10,Tech Mahindra,North,AI Insights,AI,3,4070,12210
1043,2025-06-22,Tech Mahindra,North,Data Engine,Platform,4,5742,22968
1044,2025-10-31,HCL,South,Security Shield,Cybersecurity,3,6241,18723
1045,2025-10-05,Wipro,West,HR Automator,HRTech,1,5628,5628
1046,2025-11-14,Accenture,East,Finance Tracker,FinTech,5,9225,46125
1047,2025-09-12,Capgemini,West,Data Engine,Platform,2,7248,14496
1048,2025-09-12,Accenture,East,HR Automator,HRTech,3,5805,17415
1049,2025-07-27,Infosys,West,Cloud Suite,SaaS,2,5209,10418
1050,2026-02-02,HCL,South,Finance Tracker,FinTech,3,8713,26139
1051,2025-08-28,Infosys,North,Analytics Pro,SaaS,4,5740,22960
1052,2025-05-28,IBM,East,Finance Tracker,FinTech,5,4783,23915
1053,2026-01-31,Accenture,South,Cloud Suite,SaaS,1,5871,5871
1054,2026-04-20,Accenture,North,Data Engine,Platform,1,5363,5363
1055,2025-09-30,Tech Mahindra,West,Finance Tracker,FinTech,1,8380,8380
1056,2025-09-18,Wipro,East,Data Engine,Platform,1,9566,9566
1057,2025-08-14,Capgemini,South,Analytics Pro,SaaS,2,6875,13750
1058,2026-01-25,TCS,West,Finance Tracker,FinTech,2,7380,14760
1059,2025-11-20,Accenture,South,Finance Tracker,FinTech,3,7192,21576
1060,2026-04-16,Tech Mahindra,East,Cloud Suite,SaaS,3,9657,28971
1061,2025-09-27,Deloitte,East,Cloud Suite,SaaS,4,4902,19608
1062,2025-06-01,Wipro,South,Security Shield,Cybersecurity,5,7599,37995
1063,2025-12-28,Capgemini,West,Finance Tracker,FinTech,3,4176,12528
1064,2025-07-15,Deloitte,North,AI Insights,AI,3,7698,23094
1065,2026-03-31,Tech Mahindra,West,Analytics Pro,SaaS,3,5279,15837
1066,2025-07-20,Deloitte,South,Security Shield,Cybersecurity,1,4223,4223
1067,2026-03-10,Accenture,East,AI Insights,AI,3,5629,16887
1068,2025-11-15,HCL,South,Data Engine,Platform,5,4815,24075
1069,2025-10-16,Capgemini,South,Cloud Suite,SaaS,3,8444,25332
1070,2025-11-30,Accenture,East,Data Engine,Platform,3,8836,26508
1071,2025-10-24,IBM,East,Analytics Pro,SaaS,5,5216,26080
1072,2026-03-30,Cognizant,North,AI Insights,AI,4,7625,30500
1073,2026-01-19,Accenture,East,Security Shield,Cybersecurity,4,5869,23476
1074,2025-10-02,Infosys,East,Security Shield,Cybersecurity,3,4667,14001
1075,2025-08-18,TCS,West,Data Engine,Platform,1,7813,7813
1076,2025-07-13,Infosys,North,Analytics Pro,SaaS,1,7162,7162
1077,2025-08-11,Accenture,West,Finance Tracker,FinTech,2,5602,11204
1078,2025-08-09,Wipro,East,Analytics Pro,SaaS,3,3676,11028
1079,2025-07-12,Cognizant,East,Data Engine,Platform,1,7385,7385
1080,2026-01-17,Tech Mahindra,South,HR Automator,HRTech,4,8347,33388
1081,2025-10-25,IBM,East,Analytics Pro,SaaS,3,3882,11646
1082,2025-06-23,Accenture,West,HR Automator,HRTech,5,8569,42845
1083,2025-11-20,Tech Mahindra,North,Security Shield,Cybersecurity,5,8693,43465
1084,2026-03-03,Wipro,South,Cloud Suite,SaaS,5,8718,43590
1085,2025-12-09,Wipro,West,Cloud Suite,SaaS,3,7032,21096
1086,2026-04-11,IBM,West,Security Shield,Cybersecurity,3,9191,27573
1087,2026-01-17,IBM,East,Finance Tracker,FinTech,4,6887,27548
1088,2025-10-08,Capgemini,South,Finance Tracker,FinTech,2,9285,18570
1089,2025-08-21,Wipro,South,HR Automator,HRTech,4,3910,15640
1090,2025-09-26,IBM,South,Security Shield,Cybersecurity,2,3933,7866
1091,2026-02-18,TCS,North,HR Automator,HRTech,4,8959,35836
1092,2026-03-12,IBM,West,Analytics Pro,SaaS,5,3184,15920
1093,2025-08-21,TCS,West,AI Insights,AI,5,3593,17965
1094,2025-09-04,Capgemini,South,Security Shield,Cybersecurity,3,6601,19803
1095,2026-01-14,Capgemini,West,HR Automator,HRTech,1,9770,9770
1096,2026-02-14,TCS,West,Analytics Pro,SaaS,1,6383,6383
1097,2025-06-03,Tech Mahindra,West,AI Insights,AI,1,6209,6209
1098,2025-11-18,Deloitte,West,Cloud Suite,SaaS,5,9103,45515
1099,2025-09-04,TCS,East,Data Engine,Platform,1,8895,8895
1100,2025-09-15,Tech Mahindra,South,Cloud Suite,SaaS,2,3991,7982
1101,2026-03-27,HCL,South,Security Shield,Cybersecurity,2,5681,11362
1102,2025-06-05,Capgemini,South,HR Automator,HRTech,2,8553,17106
1103,2025-08-17,Accenture,East,Security Shield,Cybersecurity,1,9855,9855
1104,2026-03-30,Tech Mahindra,South,Data Engine,Platform,3,5149,15447
1105,2026-03-03,Cognizant,South,Analytics Pro,SaaS,5,3340,16700
1106,2025-07-01,Cognizant,North,HR Automator,HRTech,4,7246,28984
1107,2025-06-21,Accenture,East,Analytics Pro,SaaS,3,9364,28092
1108,2025-10-15,Capgemini,North,Analytics Pro,SaaS,1,9576,9576
1109,2025-05-31,Capgemini,North,Finance Tracker,FinTech,1,6412,6412
1110,2026-04-11,HCL,South,Finance Tracker,FinTech,1,4637,4637
1111,2025-07-16,Cognizant,South,AI Insights,AI,3,7182,21546
1112,2026-03-13,Capgemini,South,Data Engine,Platform,5,3683,18415
1113,2025-12-10,Infosys,South,Data Engine,Platform,5,9439,47195
1114,2026-01-14,HCL,East,Data Engine,Platform,3,7352,22056
1115,2026-04-16,Tech Mahindra,South,HR Automator,HRTech,3,5234,15702
1116,2025-07-14,Accenture,West,Data Engine,Platform,3,6479,19437
1117,2026-01-17,Wipro,North,HR Automator,HRTech,4,4842,19368
1118,2026-03-05,Wipro,North,Cloud Suite,SaaS,3,8658,25974
1119,2025-10-27,Wipro,East,Cloud Suite,SaaS,4,5950,23800
1120,2026-02-16,IBM,South,Finance Tracker,FinTech,1,3245,3245
1121,2025-06-11,IBM,East,HR Automator,HRTech,3,6545,19635
1122,2026-03-01,Accenture,North,HR Automator,HRTech,2,7555,15110
1123,2026-03-11,Infosys,East,Data Engine,Platform,1,6529,6529
1124,2026-02-16,Wipro,North,Finance Tracker,FinTech,5,9543,47715
1125,2026-03-21,Accenture,West,Data Engine,Platform,4,8985,35940
1126,2025-11-26,Deloitte,North,Finance Tracker,FinTech,1,7801,7801
1127,2025-08-08,Cognizant,West,Analytics Pro,SaaS,1,5144,5144
1128,2025-11-07,IBM,West,Cloud Suite,SaaS,2,4919,9838
1129,2026-01-13,HCL,North,Analytics Pro,SaaS,3,3575,10725
1130,2025-06-02,Wipro,North,Finance Tracker,FinTech,5,4041,20205
1131,2026-04-13,IBM,West,HR Automator,HRTech,4,7979,31916
1132,2025-11-07,IBM,East,Cloud Suite,SaaS,1,7799,7799
1133,2026-04-11,Infosys,North,HR Automator,HRTech,2,5272,10544
1134,2026-02-23,IBM,South,Security Shield,Cybersecurity,4,5565,22260
1135,2026-03-17,HCL,South,Finance Tracker,FinTech,2,8506,17012
1136,2025-11-08,Deloitte,East,HR Automator,HRTech,1,9783,9783
1137,2026-03-29,Deloitte,West,Cloud Suite,SaaS,4,6865,27460
1138,2026-04-29,IBM,North,Analytics Pro,SaaS,1,6050,6050
1139,2026-01-13,Tech Mahindra,West,AI Insights,AI,4,5023,20092
1140,2025-09-14,Infosys,South,Security Shield,Cybersecurity,5,4869,24345
1141,2025-08-06,Tech Mahindra,East,Finance Tracker,FinTech,1,9983,9983
1142,2025-12-12,Deloitte,West,AI Insights,AI,3,4483,13449
1143,2026-01-21,IBM,South,Data Engine,Platform,3,5126,15378
1144,2026-01-19,Capgemini,North,HR Automator,HRTech,1,7848,7848
1145,2025-07-04,Tech Mahindra,North,Finance Tracker,FinTech,3,8071,24213
1146,2026-04-13,IBM,North,Security Shield,Cybersecurity,5,4401,22005
1147,2025-09-19,Infosys,South,Finance Tracker,FinTech,5,5708,28540
1148,2025-09-22,Tech Mahindra,North,HR Automator,HRTech,2,8782,17564
1149,2025-10-05,TCS,West,Data Engine,Platform,5,3256,16280
1150,2026-04-19,TCS,North,AI Insights,AI,4,5438,21752
1151,2025-06-20,Accenture,East,Analytics Pro,SaaS,5,9829,49145
1152,2026-05-22,Capgemini,East,AI Insights,AI,5,8442,42210
1153,2026-04-26,Deloitte,West,AI Insights,AI,3,8495,25485
1154,2025-12-30,Capgemini,South,Finance Tracker,FinTech,4,3072,12288
1155,2025-05-23,IBM,North,Security Shield,Cybersecurity,2,6112,12224
1156,2026-02-02,Infosys,North,Security Shield,Cybersecurity,1,5195,5195
1157,2025-07-20,Cognizant,South,Cloud Suite,SaaS,2,6479,12958
1158,2026-04-09,Infosys,East,Cloud Suite,SaaS,4,3602,14408
1159,2025-07-19,TCS,South,Security Shield,Cybersecurity,4,9251,37004
1160,2025-08-06,Infosys,East,HR Automator,HRTech,4,4873,19492
1161,2026-01-08,Cognizant,North,Finance Tracker,FinTech,1,7980,7980
1162,2026-03-05,Infosys,North,Cloud Suite,SaaS,5,4406,22030
1163,2026-02-01,HCL,East,Cloud Suite,SaaS,3,3936,11808
1164,2025-12-30,HCL,South,Finance Tracker,FinTech,5,9820,49100
1165,2026-03-09,Deloitte,North,Cloud Suite,SaaS,5,6060,30300
1166,2026-05-01,Infosys,North,AI Insights,AI,5,7601,38005
1167,2026-02-03,Cognizant,South,Finance Tracker,FinTech,2,7413,14826
1168,2025-08-06,Wipro,West,Analytics Pro,SaaS,1,3453,3453
1169,2025-07-21,Deloitte,South,AI Insights,AI,1,5384,5384
1170,2025-08-14,TCS,North,Security Shield,Cybersecurity,5,6136,30680
1171,2026-03-11,Tech Mahindra,West,Security Shield,Cybersecurity,2,4647,9294
1172,2025-07-05,Tech Mahindra,South,Data Engine,Platform,2,5025,10050
1173,2026-01-13,Tech Mahindra,East,AI Insights,AI,5,5295,26475
1174,2025-08-23,Tech Mahindra,South,Cloud Suite,SaaS,4,9441,37764
1175,2025-07-13,Cognizant,East,Data Engine,Platform,1,3931,3931
1176,2025-09-19,Accenture,North,Data Engine,Platform,3,4036,12108
1177,2026-05-02,Infosys,South,Analytics Pro,SaaS,2,3824,7648
1178,2026-02-27,Wipro,South,HR Automator,HRTech,1,9154,9154
1179,2026-03-10,Accenture,West,HR Automator,HRTech,1,5332,5332
1180,2026-05-08,HCL,South,AI Insights,AI,4,4087,16348
1181,2026-02-03,TCS,South,HR Automator,HRTech,2,6623,13246
1182,2025-09-30,Deloitte,South,Security Shield,Cybersecurity,1,9307,9307
1183,2025-12-06,Accenture,North,Cloud Suite,SaaS,4,9414,37656
1184,2025-08-30,Accenture,South,Finance Tracker,FinTech,5,5849,29245
1185,2025-07-23,Infosys,West,Analytics Pro,SaaS,3,3798,11394
1186,2025-11-15,HCL,East,Cloud Suite,SaaS,3,4164,12492
1187,2026-04-18,Deloitte,West,AI Insights,AI,5,5709,28545
1188,2026-03-20,HCL,West,Analytics Pro,SaaS,5,4429,22145
1189,2025-10-28,Infosys,East,Analytics Pro,SaaS,5,7871,39355
1190,2026-03-24,Tech Mahindra,South,AI Insights,AI,5,3394,16970
1191,2025-06-14,Deloitte,East,Data Engine,Platform,4,5010,20040
1192,2025-07-13,Infosys,East,AI Insights,AI,3,9180,27540
1193,2026-05-14,Deloitte,East,Security Shield,Cybersecurity,5,3720,18600
1194,2025-06-22,Wipro,North,AI Insights,AI,5,3570,17850
1195,2025-07-13,TCS,East,AI Insights,AI,5,7462,37310
1196,2025-05-30,TCS,North,HR Automator,HRTech,4,7352,29408
1197,2026-02-16,HCL,North,Analytics Pro,SaaS,5,7597,37985
1198,2026-02-08,Infosys,West,Finance Tracker,FinTech,2,5693,11386
1199,2025-08-09,Infosys,North,Security Shield,Cybersecurity,2,6452,12904
1200,2025-05-29,Cognizant,East,Analytics Pro,SaaS,2,5560,11120
1201,2025-12-22,Accenture,West,Data Engine,Platform,2,7514,15028
1202,2026-02-01,Wipro,West,Analytics Pro,SaaS,2,3500,7000
1203,2026-03-20,Wipro,East,Cloud Suite,SaaS,2,5254,10508
1204,2025-06-17,IBM,East,Data Engine,Platform,3,7854,23562
1205,2026-05-02,TCS,East,Security Shield,Cybersecurity,3,6583,19749
1206,2026-04-10,TCS,South,HR Automator,HRTech,4,8012,32048
1207,2025-11-30,Cognizant,West,AI Insights,AI,3,7502,22506
1208,2026-01-16,Tech Mahindra,South,Cloud Suite,SaaS,4,8364,33456
1209,2026-03-09,Infosys,East,Cloud Suite,SaaS,4,4878,19512
1210,2026-01-01,Wipro,North,Cloud Suite,SaaS,5,5327,26635
1211,2025-09-14,Capgemini,South,AI Insights,AI,1,4320,4320
1212,2025-08-13,Tech Mahindra,North,AI Insights,AI,3,6148,18444
1213,2026-01-20,IBM,North,Cloud Suite,SaaS,3,8223,24669
1214,2025-06-12,Infosys,North,Finance Tracker,FinTech,1,7749,7749
1215,2026-04-28,Tech Mahindra,East,AI Insights,AI,2,4973,9946
1216,2026-04-19,Cognizant,West,Finance Tracker,FinTech,5,6404,32020
1217,2025-11-06,Capgemini,East,Cloud Suite,SaaS,1,4989,4989
1218,2025-12-01,Capgemini,North,Finance Tracker,FinTech,4,9100,36400
1219,2026-03-12,Cognizant,North,Analytics Pro,SaaS,3,7499,22497
1220,2025-06-05,TCS,East,Cloud Suite,SaaS,3,6543,19629
1221,2025-11-20,HCL,South,AI Insights,AI,2,4329,8658
1222,2025-06-06,IBM,North,Analytics Pro,SaaS,3,9983,29949
1223,2025-10-23,Capgemini,West,Cloud Suite,SaaS,4,8248,32992
1224,2025-09-08,Deloitte,South,Analytics Pro,SaaS,5,6484,32420
1225,2025-12-01,Tech Mahindra,North,Analytics Pro,SaaS,1,3722,3722
1226,2026-02-16,Deloitte,West,HR Automator,HRTech,2,3312,6624
1227,2026-04-08,Cognizant,West,Data Engine,Platform,5,9202,46010
1228,2026-01-28,Infosys,South,AI Insights,AI,1,6864,6864
1229,2026-05-13,Wipro,North,Finance Tracker,FinTech,5,8459,42295
1230,2026-01-04,Wipro,South,Finance Tracker,FinTech,2,9343,18686
1231,2026-04-01,Infosys,East,Finance Tracker,FinTech,2,7106,14212
1232,2026-01-26,TCS,East,AI Insights,AI,5,4416,22080
1233,2025-11-08,TCS,West,Security Shield,Cybersecurity,1,9378,9378
1234,2026-01-11,IBM,North,Analytics Pro,SaaS,5,3462,17310
1235,2026-04-09,Accenture,East,Finance Tracker,FinTech,5,5515,27575
1236,2026-04-13,Infosys,West,Data Engine,Platform,3,3240,9720
1237,2025-07-25,Infosys,North,Analytics Pro,SaaS,5,3458,17290
1238,2025-11-30,Capgemini,North,AI Insights,AI,3,3758,11274
1239,2025-06-12,Infosys,South,Analytics Pro,SaaS,2,9227,18454
1240,2025-08-07,Tech Mahindra,North,Security Shield,Cybersecurity,2,4624,9248
1241,2025-10-14,Wipro,West,Security Shield,Cybersecurity,4,7142,28568
1242,2025-09-30,IBM,West,Analytics Pro,SaaS,4,9515,38060
1243,2025-06-27,Wipro,North,HR Automator,HRTech,2,7238,14476
1244,2025-10-27,Tech Mahindra,West,HR Automator,HRTech,5,8954,44770
1245,2025-09-05,TCS,East,AI Insights,AI,5,8197,40985
1246,2025-11-21,Capgemini,South,Cloud Suite,SaaS,5,9353,46765
1247,2026-01-01,Infosys,South,AI Insights,AI,5,6627,33135
1248,2026-05-10,TCS,East,Finance Tracker,FinTech,4,7156,28624
1249,2025-08-15,Tech Mahindra,South,AI Insights,AI,3,5239,15717
